filename,node_count,genetic_count,aca_count,gnn_count,networkx_count
graph_20251114_223510.clq,100,21,21
graph_20251114_105619.clq,93,20,20
graph_20251114_094453.clq,96,14,14
graph_20251114_224113.clq,94,16,16
graph_20251115_033708.clq,95,29,29
graph_20251114_230801.clq,90,30,30
graph_20251114_135922.clq,90,26,26
graph_20251114_083530.clq,95,28,28
graph_20251114_231321.clq,99,15,15
graph_20251115_022723.clq,100,19,19
graph_20251114_142628.clq,100,28,28
graph_20251114_213800.clq,94,25,25
graph_20251114_084344.clq,92,24,24
graph_20251114_133934.clq,91,16,16
graph_20251114_141927.clq,94,26,26
graph_20251114_131004.clq,90,34,35
graph_20251114_115049.clq,96,15,15
graph_20251114_234435.clq,95,34,34
graph_20251114_111912.clq,99,15,15
graph_20251114_224614.clq,92,15,15
graph_20251114_155657.clq,91,24,24
graph_20251115_011251.clq,95,38,38
graph_20251114_164914.clq,99,35,35
graph_20251114_080936.clq,93,19,19
graph_20251114_101900.clq,93,15,15
graph_20251114_231619.clq,95,31,31
graph_20251114_121811.clq,95,21,21
graph_20251115_025255.clq,100,23,23
graph_20251114_173126.clq,94,23,23
graph_20251114_225955.clq,93,25,25
graph_20251114_084844.clq,91,18,18
graph_20251114_125758.clq,93,36,36
graph_20251115_022533.clq,96,19,19
graph_20251115_022721.clq,94,30,30
graph_20251115_030741.clq,90,22,22
graph_20251114_080239.clq,99,21,22
graph_20251115_035519.clq,96,33,33
graph_20251115_013240.clq,90,24,24
graph_20251114_081123.clq,97,19,19
graph_20251114_121942.clq,99,16,16
graph_20251114_200924.clq,93,14,14
graph_20251114_154052.clq,93,16,16
graph_20251114_164211.clq,99,20,20
graph_20251114_152559.clq,90,18,18
graph_20251115_030942.clq,91,28,28
graph_20251114_161539.clq,92,17,17
graph_20251115_013808.clq,99,28,28
graph_20251115_015917.clq,100,19,19
graph_20251114_221558.clq,98,30,30
graph_20251114_094127.clq,93,15,15
graph_20251114_230828.clq,96,29,29
graph_20251114_181442.clq,100,37,37
graph_20251115_005810.clq,92,17,17
graph_20251114_150736.clq,93,24,24
graph_20251115_015600.clq,93,17,17
graph_20251115_023828.clq,91,37,37
graph_20251114_112932.clq,93,21,21
graph_20251114_143459.clq,100,35,35
graph_20251114_203627.clq,94,15,15
graph_20251114_084330.clq,94,23,23
graph_20251115_015218.clq,95,29,29
graph_20251114_114623.clq,99,16,16
graph_20251114_172925.clq,95,16,16
graph_20251114_222822.clq,90,32,32
graph_20251114_221808.clq,90,15,15
graph_20251115_012030.clq,97,17,17
graph_20251115_031942.clq,94,19,19
graph_20251114_125752.clq,90,15,15
graph_20251114_093536.clq,99,23,23
graph_20251114_232645.clq,100,21,21
graph_20251114_093650.clq,100,25,25
graph_20251115_023025.clq,95,29,30
graph_20251114_142729.clq,90,26,26
graph_20251114_123527.clq,91,17,17
graph_20251114_133425.clq,96,15,15
graph_20251114_084422.clq,92,27,27
graph_20251114_214553.clq,98,21,21
graph_20251114_233950.clq,96,40,40
graph_20251115_024339.clq,92,20,21
graph_20251115_001621.clq,98,24,24
graph_20251114_174357.clq,96,15,15
graph_20251115_012644.clq,99,42,42
graph_20251114_222526.clq,91,23,23
graph_20251114_224844.clq,98,17,18
graph_20251114_154955.clq,98,36,36
graph_20251114_153251.clq,97,27,27
graph_20251114_141131.clq,98,27,27
graph_20251114_082827.clq,92,18,18
graph_20251114_143332.clq,99,30,30
graph_20251114_085834.clq,96,18,18
graph_20251114_223611.clq,91,21,21
graph_20251114_183631.clq,96,14,14
graph_20251114_100357.clq,96,17,17
graph_20251115_030813.clq,95,25,25
graph_20251114_122201.clq,92,30,30
graph_20251114_223911.clq,97,15,15
graph_20251115_014552.clq,93,14,14
graph_20251115_002857.clq,91,24,25
graph_20251114_192707.clq,92,29,29
graph_20251114_112201.clq,97,24,24
graph_20251115_022333.clq,95,28,29
graph_20251114_160558.clq,92,18,18
graph_20251115_035657.clq,92,18,18
graph_20251114_173840.clq,90,16,16
graph_20251114_165651.clq,96,16,16
graph_20251114_172315.clq,94,16,16
graph_20251114_110417.clq,94,22,22
graph_20251114_152518.clq,96,26,26
graph_20251114_103133.clq,95,17,17
graph_20251114_163937.clq,90,33,34
graph_20251114_095054.clq,90,17,17
graph_20251114_113308.clq,90,20,20
graph_20251114_215858.clq,100,20,20
graph_20251114_235156.clq,90,19,19
graph_20251114_191921.clq,96,41,41
graph_20251114_163813.clq,95,16,16
graph_20251114_105018.clq,90,37,37
graph_20251114_170618.clq,100,30,31
graph_20251114_155855.clq,100,16,16
graph_20251115_021959.clq,100,15,15
graph_20251114_130705.clq,98,22,22
graph_20251114_123629.clq,97,20,20
graph_20251115_035714.clq,93,23,23
graph_20251114_123044.clq,97,20,20
graph_20251114_231519.clq,95,24,24
graph_20251114_173324.clq,100,16,17
graph_20251114_162115.clq,97,20,20
graph_20251114_112630.clq,91,16,16
graph_20251114_100222.clq,98,31,31
graph_20251115_011204.clq,93,19,20
graph_20251115_020650.clq,98,17,17
graph_20251114_173024.clq,92,22,23
graph_20251115_005301.clq,92,29,29
graph_20251114_144039.clq,95,30,31
graph_20251114_222118.clq,94,15,15
graph_20251114_102113.clq,95,19,19
graph_20251114_114523.clq,100,21,21
graph_20251114_092929.clq,91,16,16
graph_20251114_112358.clq,92,25,25
graph_20251114_165247.clq,100,17,17
graph_20251114_093351.clq,91,25,25
graph_20251114_221607.clq,96,31,31
graph_20251114_113637.clq,96,19,19
graph_20251114_153150.clq,91,16,16
graph_20251114_205237.clq,98,15,15
graph_20251115_012109.clq,99,33,33
graph_20251114_081951.clq,92,36,36
graph_20251115_001722.clq,100,18,18
graph_20251114_090041.clq,98,24,24
graph_20251114_171725.clq,98,14,15
graph_20251115_022634.clq,99,40,40
graph_20251114_123647.clq,100,33,33
graph_20251114_205325.clq,91,31,31
graph_20251115_033950.clq,92,20,20
graph_20251114_121755.clq,93,19,19
graph_20251114_144341.clq,92,14,14
graph_20251114_155623.clq,90,25,25
graph_20251115_025933.clq,96,26,26
graph_20251114_123150.clq,98,17,17
graph_20251114_101158.clq,98,31,31
graph_20251114_171241.clq,90,32,32
graph_20251114_150159.clq,90,14,14
graph_20251115_002747.clq,95,31,31
graph_20251114_152048.clq,91,23,23
graph_20251114_141827.clq,96,29,29
graph_20251114_124338.clq,97,20,20
graph_20251114_190401.clq,95,33,33
graph_20251114_181324.clq,100,29,29
graph_20251114_082226.clq,94,25,25
graph_20251114_103213.clq,92,19,19
graph_20251115_020817.clq,96,18,18
graph_20251114_123627.clq,90,17,17
graph_20251114_230921.clq,94,15,15
graph_20251114_183505.clq,92,16,17
graph_20251115_025603.clq,95,32,32
graph_20251114_213048.clq,96,22,22
graph_20251114_222015.clq,100,34,34
graph_20251114_193811.clq,97,27,27
graph_20251114_112923.clq,95,37,37
graph_20251114_194314.clq,95,17,17
graph_20251114_164150.clq,96,15,15
graph_20251114_233306.clq,100,16,16
graph_20251115_021023.clq,91,34,35
graph_20251114_080422.clq,100,16,16
graph_20251114_171826.clq,96,24,25
graph_20251114_103412.clq,98,38,38
graph_20251114_140624.clq,94,17,17
graph_20251114_135003.clq,91,17,17
graph_20251114_164946.clq,91,23,23
graph_20251114_232338.clq,95,30,30
graph_20251114_110221.clq,96,21,21
graph_20251114_220336.clq,98,20,20
graph_20251114_193346.clq,98,24,24
graph_20251114_104916.clq,92,31,31
graph_20251114_124959.clq,98,17,17
graph_20251114_194615.clq,99,15,15
graph_20251114_192605.clq,91,20,20
graph_20251115_025131.clq,90,14,14
graph_20251114_121004.clq,98,37,38
graph_20251114_165230.clq,91,31,31
graph_20251114_162200.clq,96,20,20
graph_20251114_144203.clq,99,27,27
graph_20251114_102013.clq,99,21,21
graph_20251114_095247.clq,95,19,19
graph_20251115_040709.clq,90,14,14
graph_20251114_084029.clq,94,33,34
graph_20251115_034058.clq,98,18,18
graph_20251114_143935.clq,94,41,41
graph_20251114_231749.clq,91,26,26
graph_20251114_144435.clq,99,23,23
graph_20251114_181531.clq,91,19,19
graph_20251114_120157.clq,93,16,16
graph_20251114_224743.clq,92,24,24
graph_20251114_091046.clq,97,17,17
graph_20251115_032158.clq,95,20,20
graph_20251114_143533.clq,90,17,17
graph_20251114_113224.clq,92,14,15
graph_20251114_132508.clq,90,34,34
graph_20251114_093638.clq,98,23,23
graph_20251114_132624.clq,96,24,24
graph_20251115_011805.clq,97,22,22
graph_20251114_152248.clq,93,30,31
graph_20251114_205343.clq,94,15,15
graph_20251115_003245.clq,91,24,24
graph_20251114_131247.clq,92,22,22
graph_20251114_085934.clq,95,17,17
graph_20251114_174850.clq,99,29,29
graph_20251115_000340.clq,99,39,39
graph_20251114_142428.clq,92,19,19
graph_20251114_105130.clq,97,15,15
graph_20251114_150448.clq,98,15,15
graph_20251115_015407.clq,90,27,27
graph_20251114_123251.clq,93,15,15
graph_20251114_214252.clq,95,21,21
graph_20251114_164215.clq,92,34,34
graph_20251114_232421.clq,90,27,27
graph_20251114_234952.clq,98,24,24
graph_20251115_024934.clq,94,18,18
graph_20251114_124858.clq,94,20,20
graph_20251114_114335.clq,96,21,21
graph_20251115_032141.clq,91,21,21
graph_20251114_094553.clq,91,29,29
graph_20251114_171621.clq,99,30,30
graph_20251114_111253.clq,90,26,26
graph_20251114_082128.clq,91,26,26
graph_20251114_172809.clq,95,33,33
graph_20251114_101811.clq,97,19,19
graph_20251115_000640.clq,100,19,19
graph_20251115_032730.clq,93,24,24
graph_20251114_102411.clq,92,17,17
graph_20251114_164453.clq,100,15,15
graph_20251114_200907.clq,99,15,16
graph_20251114_170935.clq,98,30,30
graph_20251114_081624.clq,96,16,16
graph_20251114_082207.clq,97,22,22
graph_20251114_134742.clq,99,23,24
graph_20251115_031429.clq,98,40,40
graph_20251114_185459.clq,91,14,14
graph_20251115_015323.clq,92,30,30
graph_20251114_213349.clq,98,21,21
graph_20251115_004448.clq,96,29,29
graph_20251114_105736.clq,99,14,15
graph_20251114_100850.clq,92,34,34
